ADR_E|Adria Radar|LYBA,LWSS,LAAA
ADR_W|Adria Radar|LJLA,LDZO,LQSB
ADR|Adria Radar|LJLA,LDZO,LQSB,LYBA,LWSS,LAAA
AFRN_H|Africa North Control|HAAA,HCSM,HHAA,HSSS
AFRN_M|Africa North Control|DAAA,DTTC,GMMM,HLLL
AFRN_W|Africa North Control|DGAC,DNKK,DRRR,FCCC,FTTT,FZZA,GLRB,GOOO
AFRN|Africa North Control|DAAA,DGAC,DNKK,DRRR,DTTC,FCCC,FTTT,FZZA,GLRB,GMMM,GOOO,GVSC,HAAA,HCSM,HHAA,HLLL,HSSS
AFRS|Africa South Control|FACA,FAJA,FBGR,FIMM,FLFI,FMMM,FNAN,FQBE,FVHF,FWLL,FYWH,HKNA,HTDC,HUEC
ASEA_N|South East Asia Control|RPHI,VVTS,VTBB,VVVV,VLVT,VDPP
ASEA_S|South East Asia Control|WSJC,WMFC,WBFC,WIIF,WAAF
ASEA|South East Asia Control|WSJC,WMFC,WBFC,WIIF,WAAF,RPHI,VVTS,VDPP,VTBB,VVVV,VLVT,VYYF
ASIA|West Asia Control|VABF,VIDF,VECF,VOMF,VEGF,OPKR,OPLR,OAKX,VCCF,VRMF,VGFR,VNSM
BALT|Baltic Control|UMKK,EYVL,EVRR,EETT
BICC|Iceland Radio|BIRD-E,BIRD-N,BIRD-S,BIRD-W
CR-RDO|Caribbean Radio|MYNN,MUFH,MKJK,MTEG,MDCS,TNCF,TJZS,TTZP,KZMO
EDUU|Rhein Radar|EDGG-E,EDGG-S,EDGG-W,EDMM-N,EDMM-S,EDWW-E
EDYY|Maastricht Radar|EBBU,EHAA,EDGG-N,EDWW-W
EURN|Eurocontrol North|EKDK,EETT,EFIN,EVRR,EYVL,ENBD,ENOS,ENSV,ESOS
EURM|Maastricht Eurocontrol|LOVV,EBBU,EDGG,EDMM,EDWW,LSAS,EHAA
EURW|Eurocontrol West|LFBB,LFEE,LFMM,LFRR,LFFF,LPPC,LECM,LECB,LECS
EURE|Eurocontrol East|LAAA,LQSB,LBSR,LDZO,LKAA,LWSS,LHCC,LUUU,EPWW,LRBB,LYBA,LZBB,LJLA
EURS|Eurocontrol South|LCCC,LGGG,LIMM,LIPP,LIRR,LIBB,LMMM,LTAA,LTBB
EURI|Eurocontrol Islands|EISN,EGTT,EGPX,BIRD-E,BIRD-S
FASA|South Africa Center|FAJA,FASA
GULF|Gulf Area|OIIX,ORBB,OSTT,OEJD,OKAC,OBBB,OMAE,OYSC,OOMM,OJAC,OLBB,HECC
LFUP|France Control|LFMM,LFFF,LFEE,LFBB,LFRR
LIUP|Italy Radar|LIMM,LIBB,LIRR,LIPP
LRUB|Black Sea West Control|LBSR,LRBB,LUUU
LTUP|Turkey Control|LTAA
RU-ERC|Eastern Russia Control|UEEE,UHHH,UHMM,UHPP
RU-WRC|Western Russia Control|UMMV,UUWV,URRV,UWWW
RU-ESC|Eastern Siberia Control|UNKL,UIII
RU-WSC|Western Siberia Control|USDK,USDD,USDS,USTR,USSS,USKK,USPP,USCC,UNNT
RU-CEN|Central Asia Control|UATT,UACC,UAAA,UTAK,UTAA,UTAT,UTNR,UTAV,UTSD,UTTR,UAII,UCFO,UTDD,UCFM
RU-NWC|North West Control|ULLL,ULWW,ULMM,ULAA,ULAM,ULKK,UMKK,UUYY
UKR|Ukraine Control|UKDV,UKFV,UKOV,UKBV,UKLV
VZUP|India Radar|VABF,VEGF,VECF,VIDF,VOMF
YBBB|Brisbane Centre Upper|YARA,YDOS,YISA,YMDE,YTBP,YTRT
YMMM|Melbourne Centre Upper|YASP,YWOL,YBKE,YESP,YORE,YSNO,YTAS,YTBD
