id,latcoord,longcoord
A1,50.049169,8.570952
A11,50.048971,8.569876
A13,50.048566,8.569373
A14,50.047875,8.567651
A15,50.048051,8.569072
A16,50.047413,8.567213
A17,50.047541,8.568841
A18,50.046927,8.566842
A19,50.047047,8.568449
A20,50.046405,8.566599
A21,50.40657,8.568052
A22,50.045812,8.566187
A23,50.046048,8.567834
A24,50.045356,8.56578
A25,50.045485,8.567284
A26,50.044841,8.565375
A28,50.044712,8.564823
A30,50.044577,8.564275
A34,50.044362,8.563303
A36,50.044246,8.562741
A38,50.044072,8.562214
A40,50.043944,8.561665
A50,50.048129,8.565819
A52,50.047807,8.564926
A54,50.047593,8.563855
A58,50.047312,8.562704
A62,50.047047,8.561593
A66,50.046758,8.560427
A69,50.046552,8.55939
B10,50.048974,8.57151
B20,50.04819,8.571746
B22,50.047531,8.57125
B23,50.047162,8.572778
B24,50.046997,8.570902
B25,50.046577,8.570593
B26,50.046005,8.570617
B27,50.046184,8.571995
B28,50.046543,8.572371
B42,50.047595,8.574641
B43,50.048571,8.575203
B44,50.048287,8.576184
B45,50.048035,8.576865
B46,50.047625,8.577201
B47,50.047238,8.576296
B48,50.04734,8.575502
C2,50.05004,8.574211
C4,50.050223,8.575247
C5,50.050032,8.57606
C6,50.049815,8.576865
C8,50.04953,8.577909
C11,50.049323,8.578853
C13,50.04911,8.579825
C14,50.049201,8.580552
C15,50.049483,8.581725
C16,50.049768,8.582847
D1,50.050802,8.587335
D4,50.050587,8.586311
D5,50.05014,8.58539
D8,50.050138,8.584193
E2,50.051102,8.588379
E5,50.051409,8.589612
E6,50.05165,8.59067
E9,50.051915,8.591721
F211,50.03969,8.543985
F212,50.04024,8.54337
F213,50.039971,8.545204
F214,50.040625,8.544887
F215,50.040628,8.547951
F216,50.041257,8.54758
F219,50.041739,8.550027
F220,50.041194,8.55033
F222,50.03881,8.54123
F224,50.039345,8.540817
F231,50.038074,8.535022
F232,50.037936,8.533588
F233,50.037647,8.532185
F234,50.037318,8.530877
F235,50.037018,8.529674
F237,50.037568,8.527642
F238,50.037262,8.526397
S501,50.030038,8.5643
S503,50.030557,8.563994
S504,50.029946,8.561419
S505,50.031144,8.563636
S506,50.030531,8.561052
S507,50.031677,8.563314
S508,50.031065,8.560745
S601,50.031457,8.567638
S602,50.030806,8.564981
S603,50.032148,8.567274
S604,50.0315,8.564558
V100,50.049092,8.596519
V101,50.04897,8.596049
V102,50.048834,8.595576
V106,50.049379,8.592510
V107,50.049897,8.592212
V108,50.04927,8.591811
V109,50.049709,8.591564
V110,50.049075,8.591067
V111,50.049539,8.590797
V112,50.048854,8.590433
V113,50.049224,8.589458
V114,50.048777,8.589707
V115,50.048985,8.588739
V116,50.048567,8.588975
V117,50.048941,8.588004
V118,50.048439,8.588286
V120,50.048185,8.585732
V122,50.047966,8.584693
V124,50.047713,8.583685
V127,50.047372,8.582277
V129,50.047152,8.581245
V135,50.043647,8.56931
V143,50.045447,8.562293
V144,50.045666,8.563139
V153,50.041429,8.559552
V155,50.041285,8.558893
V157,50.041118,8.55828
V158,50.040887,8.557556
V160,50.040724,8.556836
V162,50.040632,8.556182
V163,50.040359,8.555479
V164,50.03938,8.551205
V166,50.038826,8.548854
V167,50.038602,8.547927
V168,50.038343,8.547003
V169,50.038114,8.545887
V170,50.037923,8.544898
V171,50.037112,8.542242
V172,50.036915,8.541433
V173,50.03672,8.540624
V174,50.036455,8.539493
V175,50.036274,8.538743
V176,50.036105,8.537958
V177,50.035928,8.537305
V178,50.035757,8.536641
V266,50.037501,8.524968
V267,50.037352,8.524417
V268,50.037157,8.523884
V269,50.037076,8.523302
V270,50.036884,8.522782
V310,50.027279,8.569712
V311,50.027996,8.569292
V312,50.028711,8.568868
V313,50.029431,8.568474
V92,50.049968,8.600379
V93,50.049869,8.599879
V94,50.049747,8.599406
V95,50.049632,8.598936
V96,50.049525,8.598448
V97,50.049418,8.59797
V98,50.049312,8.597492
V99,50.049172,8.597021
