id,latcoord,longcoord
01A,53.634508,10.003121
01,53.634159,10.003554
01B,53.634124,10.003489
02A,53.633685,10.003572
02,53.633593,10.003626
02B,53.633303,10.003591
02C,53.633247,10.003679
03A,53.632908,10.003700
03,53.632802,10.003709
03B,53.632381,10.003662
03C,53.632271,10.003722
04,53.631898,10.003867
04B,53.631461,10.003915
05,53.631135,10.003842
05B,53.631094,10.003877
06A,53.630293,10.003581
06,53.630089,10.003561
06B,53.629931,10.003602
07A,53.629686,10.002904
07,53.629383,10.003014
07B,53.629262,10.002979
08,53.628847,10.002329
09,53.628440,10.002184
10,53.628074,10.002474
11,53.627718,10.002743
12,53.627383,10.003097
42,53.626859,10.003540
43,53.626515,10.003835
44A,53.625584,10.003724
44,53.525508,10.003750
45A,53.625334,10.003895
45,53.625157,10.004002
45B,53.625091,10.004058
46A,53.624744,10.004357
46,53.624668,10.004418
47A,53.624505,10.004565
47,53.624346,10.004715
47B,53.624278,10.004801
48A,53.624046,10.005000
48,53.623982,10.005002
48B,53.623809,10.005200
