id,latcoord,longcoord
A01,51.165017,6.460094
A02,51.165187,6.460123
A03,51.165363,6.460164
A04,51.165549,6.460198
A05,51.165518,6.460175
A07,51.165722,6.460060
A08,51.165698,6.460203
A09,51.165754,6.460001
A10,51.165491,6.455690
A11,51.165451,6.455715
A12,51.165337,6.455612
A12A,51.165325,6.455702
A13,51.165188,6.455616
A15,51.165042,6.455572
A16,51.164907,6.455581
B01,51.164818,6.455089
B02,51.164902,6.454908
B03,51.164964,6.454637
B04,51.164976,6.454437
B05,51.164845,6.454241
B06,51.164755,6.454305
B07,51.164761,6.454237
B08,51.164591,6.454349
B09,51.164504,6.454597
B10,51.164422,6.454851
B11,51.164351,6.455045
C01,51.163971,6.454848
C02,51.163851,6.454545
C02A,51.163831,6.454513
C03,51.163773,6.454223
C03A,51.163775,6.454226
C04,51.163569,6.454250
C05,51.163436,6.454391
C06,51.163475,6.454663
C07,51.163506,6.454918
V01,51.172461,6.465544
V02,51.172373,6.465168
V02A,51.172149,6.465383
V03,51.172257,6.464925
V03A,51.172073,6.465223
V04,51.172232,6.464870
V04A,51.171997,6.465062
V05A,51.171920,6.464902
V05,51.172168,6.464706
V06,51.172098,6.464560
V07,51.172060,6.464480
V07A,51.171844,6.464742
V08A,51.171971,6.464362
V08B,51.171941,6.464634
V08C,51.171841,6.464538
V11A,51.171640,6.463697
V11B,51.171469,6.463611
V11C,51.171509,6.463839
V12,51.171596,6.463552
V14,51.171407,6.463157
V13,51.171377,6.463058
V16,51.171408,6.463157
V17,51.171314,6.462960
V19,51.171230,6.462750
V20,51.171136,6.462553
V22,51.171042,6.462357
V23,51.170960,6.462144
V24,51.170858,6.461970
V25,51.170765,6.461773
V26,51.170671,6.461574
V27,51.170581,6.461385
V28,51.170499,6.461213
V29,51.170417,6.461040
V29A,51.170336,6.460869
V38,51.170889,6.463498
V38A,51.170820,6.463489
V39,51.170793,6.463297
V39A,51.170681,6.463198
V39B,51.170706,6.463241
V40,51.170696,6.463097
V41,51.170606,6.462895
V41A,51.170548,6.462902
V42,51.170516,6.462704
V43,51.170428,6.462510
V44,51.170352,6.462301
V45,51.170263,6.462111
V46,51.170172,6.461922
V47,51.170062,6.461683
V49,51.165975,6.461508
V51,51.165887,6.461323
V53,51.165804,6.461121
V61,51.164779,6.453405
V61A,51.164715,6.453467
V62,51.164634,6.453400
V63,51.164488,6.453396
V71,51.163892,6.453356
V72,51.163747,6.453345
V72A,51.163804,6.453453
V73,51.163601,6.453353
V74,51.163490,6.453408
V75,51.163371,6.453499
V76,51.163245,6.453607
V77,51.163136,6.453710
V81,51.163458,6.452427
V82,51.163327,6.452543
V83,51.163198,6.452647
V84,51.163069,6.452751
V85,51.162940,6.452854
V86,51.162812,6.452958
V91,51.163410,6.452161
V92,51.163298,6.452252
V92A,51.163281,6.452266
V93,51.163186,6.452345
V93A,51.163151,6.452371
V94,51.163064,6.452410
V95,51.162963,6.452533
V96,51.162837,6.452586
V101,51.163788,6.451110
V102,51.163728,6.451059
V103,51.163645,6.451181
V104,51.163514,6.451287
V105,51.163484,6.451258
V106,51.163380,6.451395
V120,51.163510,6.452238
V121,51.163729,6.452134
V122,51.163863,6.452203
V123,51.163862,6.452039
V124,51.163988,6.452320
V125,51.164047,6.452438
V126,51.164019,6.452331
V127,51.163947,6.452472
V128,51.163802,6.452466
V129,51.163784,6.452339
V130,51.163657,6.452479
