id,latcoord,longcoord
09,48.688653,9.192108
10,48.68879,9.192853
11,48.688937,9.193558
12,48.689074,9.194248
13,48.689243,9.195097
14,48.689363,9.195765
15,48.689495,9.196436
16,48.689619,9.197117
17,48.689749,9.197736
18,48.689863,9.198371
19,48.690014,9.198944
24,48.690708,9.199698
25,48.690849,9.20041
26,48.690971,9.201031
27,48.691085,9.201635
28,48.6912,9.202265
29,48.69138,9.203201
30,48.691634,9.204271
31,48.69176,9.204893
32,48.69188,9.205526
33,48.691995,9.206152
34,48.692111,9.206752
35,48.692223,9.207323
36,48.692324,9.207908
40,48.687224,9.193339
41,48.687338,9.193989
42,48.687482,9.194639
43,48.687613,9.195292
44,48.687783,9.196113
45,48.687873,9.196818
46,48.688008,9.197524
50,48.688999,9.200285
51,48.689131,9.20091
52,48.689255,9.201576
53,48.689387,9.202246
54,48.689516,9.202913
55,48.68964,9.20358
56,48.689754,9.204215
60,48.690743,9.20569
61,48.690847,9.20633
62,48.690964,9.206961
63,48.691087,9.207614
64,48.691209,9.208256
71,48.69053,9.206465
72,48.690658,9.207101
73,48.690777,9.207745
74,48.690899,9.208392
75,48.691043,9.209031
105,48.683562,9.20656
106,48.683749,9.207467
200,48.683055,9.202424
201,48.68316,9.202943
202,48.68333,9.203887
203,48.68352,9.204881
204,48.683623,9.205416
