id,latcoord,longcoord
01,52.555002,13.29196
02,52.555524,13.291358
03,52.555705,13.290697
04,52.555562,13.290025
05,52.555468,13.289286
06,52.555239,13.288675
07,52.554861,13.288564
08,52.554369,13.288309
09,52.553934,13.288339
10,52.553645,13.288898
11,52.553312,13.289409
12,52.553008,13.289811
13,52.553085,13.290453
14,52.553263,13.291398
15,52.552098,13.290779
16,52.55172,13.291319
17,52.550944,13.289154
18,52.551309,13.288671
19,52.55168,13.288187
20,52.55196,13.287516
21,52.552339,13.287056
22,52.552768,13.28668
23,52.553173,13.286149
24,52.553543,13.285646
25,52.554426,13.28447
26,52.554794,13.283985
27,52.554923,13.283596
28,52.554887,13.28282
29,52.55481,13.282052
31,52.554748,13.279856
32,52.554682,13.279197
33,52.55463,13.278552
34,52.554554,13.277895
40,52.554141,13.277071
51,52.554938,13.293185
52,52.555701,13.293666
53,52.556122,13.293884
54,52.556193,13.294657
55,52.556298,13.295414
56,52.556345,13.296189
57,52.556418,13.296936
58,52.556492,13.297684
59,52.556565,13.298433
60,52.556638,13.299185
60A,52.556505,13.29852
61,52.556094,13.298547
62,52.55565,13.298306
63,52.555221,13.298043
63A,52.555603,13.298242
64,52.554788,13.297772
65,52.554377,13.297598
65A,52.554843,13.297782
66,52.553842,13.297071
