id,latcoord,longcoord
1,52.459521,9.693105
2,52.459147,9.692875
3,52.458763,9.692656
4,52.458422,9.693394
5,52.458450,9.693987
6,52.458488,9.694690
7,52.458114,9.695511
8,52.457748,9.695889
9,52.457480,9.696425
10,52.457554,9.697009
11,52.457828,9.697468
12,52.458179,9.697868
13,52.458064,9.698968
14,52.457750,9.699368
15,52.457424,9.699688
16,52.457369,9.700239
17,52.457437,9.700853
18,52.457719,9.701107
19,52.458023,9.701507
20,52.458385,9.701813
21,52.457258,9.703066
21A,52.457205,9.703200
22,52.457124,9.703671
23,52.457204,9.704978
24,52.457188,9.705645
25,52.457065,9.706305
26,52.459928,9.693158
27,52.459787,9.691232
28,52.4601119,9.690839
30,52.456453,9.708797
31,52.456408,9.710015
32,52.456408,9.711138
33,52.456745,9.711833
41,52.456956,9.693318
45,52.457129,9.688932
46,52.457159,9.688303
47,52.457177,9.687667
48,52.457197,9.687023
49,52.457217,9.686329
50,52.457237,9.685642
51,52.457253,9.684950
52,52.457266,9.684258
53,52.458742,9.683269
54,52.458721,9.684039
55,52.458700,9.684814
56,52.458677,9.685581
57,52.458651,9.686326
58,52.458636,9.687126
59,52.458612,9.687898
60,52.458590,9.688669
61,52.459217,9.687242
